complete_video_IDs,video_titles
https://www.youtube.com/watch?v=Ktoa6yLJzCk,पालक_चना_दाल_तड़का_स्पेशल_खडे_मसाले_वाली।_Chana_Dal_Palak_Tadka_
https://www.youtube.com/watch?v=5vFD52uOcKo,फरसान_कचौरी_-_ड्राइ_मसाला_कचौरी_।_Dry_masala_kachori_
https://www.youtube.com/watch?v=9unhLHJlTrg,बेकरी_स्टायल_दिलपसन्द-बिना_ओवन_।_How_to_make_bakery_style_Dilpasand_sweet_without_oven_from_scratch
https://www.youtube.com/watch?v=hNuTM8eBgJE,चीज़_चिल्ली_टोस्ट_-_झटपट_बनने_वाला_नाश्ता।_Chili_Cheese_Toast_recipe_।_Veg_Cheese_Bread_Toast_on_Tawa
https://www.youtube.com/watch?v=fFRSVzO2Jlk,श्राद्ध-पितृ_पक्ष_की_थाली-श्राद्ध_भोज_थाली।_Shradh_Special_Kanagat_Thali_
https://www.youtube.com/watch?v=kRShwNqBQaw,राजमा_मसाला_रेसिपी_।_Rajma_Masala_Curry_Recipe_।_How_to_make_Hotel_style_Rajma_Masala
https://www.youtube.com/watch?v=_gryPUplM4w,फलाफल_व_हम्मस_घर_पर_ही_बनायें_।_Falafel_with_Hummus_Dip_।_How_to_make_falafel_n_hummus_from_scratch
https://www.youtube.com/watch?v=6OVq6yEfnls,बची_ब्रेड_से_बना_आसान_नाश्ता।_Bread_Dahi_Poha_
https://www.youtube.com/watch?v=r_1dX1gXyUU,वेज_कबाब_परांठा_रॉल_-_लखनऊ_का_स्ट्रीट_फूड_।_Veg_Kebab_Paratha_Recipe_
https://www.youtube.com/watch?v=6AKZQ-PM4vE,मखाने_से_बने_फलाहारी_मोदक_।_Instant_Modak_Recipe_
https://www.youtube.com/watch?v=a-5wnGyI7Ko,एकदम_सॉफ्ट_पूरनपोली_बनाने_का_तरीका_।_Namkeen_Puran_Poli_Recipe_
https://www.youtube.com/watch?v=xube4yga2is,भाप_में_बने_पारंपरिक_मोदक।_How_to_make_Modak_
https://www.youtube.com/watch?v=Ph-3pIJ94cU,पनीर_जालफ्रेजी_घर_पर_ही_आसानी_से_बनाईये_।_Veg_Jalfrezi_restaurant_style_
https://www.youtube.com/watch?v=SweC2ai-bWA,वेज_मेयोनीज़_सेन्डविच_-_3_तरह_से_।_Veg_Mayonnaise_Sandwich_
https://www.youtube.com/watch?v=G3Ozum8-U8A,नारियल_मखाना_पाग-जन्माष्टमी_रेसीपी_।_Quick_Dry_Coconut_Makhana_Paag_
https://www.youtube.com/watch?v=Pqg5s57j_xA,मावा_मिश्री_के_लड्डू_कैसे_बनायें।_Mawa_Mishri_Laddu_Recipe_
https://www.youtube.com/watch?v=nXxZG0TEJZg,मटर_के_छोले_-_बिना_घी_तेल_के_बनायें_।_Matar_ke_Chole_without_oil_।_Matar_Ghuguni_
https://www.youtube.com/watch?v=bA2ammAqjXM,फूल_मखाने_की_पंजीरी_।_Makhana_Panjiri_Recipe_
https://www.youtube.com/watch?v=46NUZioRQbI,वेज_नर्गिसी_कोफ्ता_करी_-_आसान_तरीका_।_Paneer_Nargisi_Kofta_Curry_Recipe_
